MPID|MP Type|Name|Location|Telephone|NASDAQ Member|FINRA Member|NASDAQ BX Member|PSX Participant
ACME|M|Acme Securities Inc.|MONTREAL, CANADA|514-397-9073|N|N|N|N
ACOS|P|Costa Financial Securities, Inc.|||N|N|N|N
ACPL|M|American Capital Partners, LLC|HAUPPAUGE, NY|631-870-3007|Y|Y|N|N
ACPS|P|ACP SECURITIES, LLC|||N|Y|N|N
ACRA|P|Archipelago Securities, L.L.C.|||Y|Y|Y|Y
ACRN|P|ACORNS SECURITIES, LLC|||N|Y|N|N
ACSI|P|Atlas Capital Services, LLC|||N|N|N|N
ACSL|P|FINTRUST BROKERAGE SERVICES, LLC|||N|Y|N|N
ACTR|P|A.C. Trading, Inc.|||N|N|N|N
ACUK|P|ALEXANDER CAPITAL, L.P.|||N|Y|N|N
ADAK|P|Adirondack Trading Group LLC|||N|N|N|N
ADAM|M|CANACCORD GENUITY INC.|BOSTON, MA|617-371-3920|Y|Y|N|N
ADAM|M|CANACCORD GENUITY INC.|BOSTON, MA|800-258-0811|Y|Y|N|N
ADAM|M|CANACCORD GENUITY INC.|ARBITRAGE|617-371-3921|Y|Y|N|N
ADFN|E|NASD Alternate Display Facility|||N|N|N|N
ADMS|P|IF SECURITIES LLC|||N|Y|N|N
ADPI|P|Automatic Data Processing, Inc.|||N|N|N|N
ADSO|P|Prospera Financial Services, Inc.|DALLAS, TX|214-706-2800|N|Y|N|N
ADVA|P|Advanced Equities, Inc.|TRADING DESK|312-229-1938|N|N|N|N
ADVP|P|Advanced Planning Securities, Inc.|||N|N|N|N
ADVS|M|Advest, Inc.|||N|N|N|N
AEBC|P|AEB Corporation|NEW YORK, NY|212-406-6780|N|N|N|N
AEFA|P|Ameriprise Financial Services, LLC|||N|Y|N|N
AEGS|P|AEGIS INVESTMENTS, INC.|||N|Y|N|N
AESI|P|American Eastern Securities, Inc.|LOS ANGELES  CA|213-488-5131|N|N|N|N
AETL|P|AET Investment Services, LLC|||N|Y|N|N
AETY|P|American Enterprise Investment Services Inc|||N|Y|N|N
AEXG|P|ALTERNATIVE EXECUTION GROUP|primary contact|212-209-3911|Y|Y|N|N
AFAI|P|American Financial Associates, Inc.|||N|Y|N|N
AFCO|M|TD PRIME SERVICES LLC|NEW YORK  NY|212-422-7285|Y|Y|N|N
AFGI|M|Access Financial Group, Inc.|NASDAQ TRADING|312-655-3255|N|Y|N|N
AFGI|M|Access Financial Group, Inc.|NASDAQ TRADING|800-714-3405|N|Y|N|N
AFIN|P|All Funds, Inc.|CONGERS  NY|845-268-6827|N|N|N|N
AFMG|P|Asia Pacific Financial Management Group, Inc.|||N|Y|N|N
AFSS|P|FOUR POINTS CAPITAL PARTNERS LLC|||N|Y|N|N
AFTR|M|American Fronteer Financial Corporation|||N|N|N|N
AGCO|P|Auerbach Grayson & Company Incorporated|NASDAQ TRADING|212-557-4444|N|Y|N|N
AGCP|P|AEGIS CAPITAL CORP.|||Y|Y|N|N
AGES|P|AGES FINANCIAL SERVICES, LTD.|||N|Y|N|N
AGIS|M|Aegis Capital Corp.|NASDAQ OTC DESK|212-813-2006|Y|Y|N|N
AGIS|M|Aegis Capital Corp.|BULLETIN BOARD DESK|212-813-2006|Y|Y|N|N
AGOR|P|Agora Securities Corp.|||N|N|N|N
AGPM|P|A.G.P. / ALLIANCE GLOBAL PARTNERS|||Y|Y|N|N
AHBI|P|Abner, Herrman & Brock, Inc.|NEW YORK N.Y.|212-742-1093|N|Y|N|N
AHSI|P|American Heritage Securities, Inc.|||N|Y|N|N
AICB|P|AMERITAS INVESTMENT CORP|||N|Y|N|N
AIGF|P|AIG Financial Advisors, Inc.|||N|Y|N|N
AIGN|P|SAGEPOINT FINANCIAL, INC.|||N|Y|N|N
AIII|P|America Invest Online, Inc.|||N|N|N|N
AIRS|P|Hand Securities, Inc|||N|Y|N|N
AISG|P|American Independent Securities Group, LLC|||N|Y|N|N
AJAY|P|A.J. Pace & Co., Inc.|NASDAQ TRADING|212-277-7223|N|N|N|N
AJCE|N|Professional Concepts & Planning, Inc.|||N|N|N|N
AKAM|P|JUMP TRADING|||Y|N|Y|Y
AKJI|P|AKJ|||N|N|N|N
AKRO|P|Akros Securities, Inc|NEW YORK, NY|212-546-9466|N|N|N|N
ALAC|P|Alamo Capital|NASDAQ TRADING|510-472-5700|N|Y|N|N
ALAM|P|ALAMO CAPITAL|||N|Y|N|N
ALAN|P|ALADDIN CAPITAL LLC|||N|N|N|N
ALAS|M|Arthurs, Lestrange & Company Incorporated|PITTSBURGH, PA|877-282-1941|N|N|N|N
ALAS|M|Arthurs, Lestrange & Company Incorporated|ALTERNATE TEL#|412-306-1753|N|N|N|N
ALBS|P|ALBERT SECURITIES, LLC|||N|Y|N|N
ALCH|P|Alchemy Alternatives, Inc.|||N|Y|N|N
ALFA|P|ALPHA TRADING L.P.|||Y|N|N|N
ALGC|P|A.G.P. / ALLIANCE GLOBAL PARTNERS|||Y|Y|N|N
ALGO|P|STOCK USA EXECUTION SERVICES, INC|||Y|Y|N|N
ALGP|P|A.G.P. / Alliance Global Partners|||Y|Y|N|N
ALGR|O|Fred Alger & Company, Incorporated|NEW YORK NY|212-806-8820|Y|Y|N|N
ALGR|O|Fred Alger & Company, Incorporated||212-806-8800|Y|Y|N|N
ALGR|O|Fred Alger & Company, Incorporated||800-223-3810|Y|Y|N|N
ALGR|O|Fred Alger & Company, Incorporated|JERSEY CITY NJ|201-547-3600|Y|Y|N|N
ALIS|P|Alexander Investment Services Co.|||N|Y|N|N
ALLN|M|Allen & Company LLC|NEW YORK, NY|212-832-7393|Y|Y|N|N
ALLN|M|Allen & Company LLC|NEW YORK, NY|800-221-2246|Y|Y|N|N
ALLS|P|ALLARIA SECURITIES, LLC|||N|Y|N|N
ALNC|M|A.G.P. / ALLIANCE GLOBAL PARTNERS||949-863-9500|Y|Y|N|N
ALPA|P|ALPACA SECURITIES LLC|||N|Y|N|N
ALPN|O|Alpine Associates, A Limited Partnership|CRESKILL, NJ|201-871-0866|N|N|N|N
ALPS|M|Alpine Securities Corporation|SALT LAKE CITY, UT|800-521-5588|Y|Y|N|N
ALPS|M|Alpine Securities Corporation|RETAIL|801-355-5588|Y|Y|N|N
ALST|N|All-Tech Direct, Inc.|||N|N|N|N
ALTR|P|ALTRUIST FINANCIAL LLC|||N|Y|N|N
ALTS|P|LODAS SECURITIES, LLC|||N|Y|N|N
ALTU|P|ALTRUIST FINANCIAL LLC|||N|Y|N|N
ALTX|P|VIRTU AMERICAS LLC|NEW YORK, NY|212-444-6218|Y|Y|Y|Y
AMBB|P|ALLEN, MOONEY & BARNES BROKERAGE SERVICES, LLC|||N|Y|N|N
AMER|P|AMERICAN TRUST INVESTMENT SERVICES, INC.|||N|Y|N|N
AMEX|E|American Stock Exchange|BEAR HUNTER|212-306-1059/1083  (BHSP)|N|N|N|N
AMEX|E|American Stock Exchange|EQUITEC SPECIALISTS|212-306-1578/1579  (EQUT)|N|N|N|N
AMEX|E|American Stock Exchange|PERFORMANCE CAPITAL|212-306-1580       (PERF)|N|N|N|N
AMEX|E|American Stock Exchange|SUSQUEHANNA INTL GP|212-306-1582       (SUSI)|N|N|N|N
AMGC|O|America's Growth Capital, LLC|BOSTON, MA|617-261-4100|N|Y|N|N
AMIC|P|AMERICAN INVESTORS COMPANY|||N|Y|N|N
AMMS|P|American Municipal Securities, Inc.|||N|Y|N|N
AMRA|P|AMERICAS EXECUTIONS, LLC|||N|Y|N|N
AMRI|P|AMERICAS EXECUTIONS, LLC|Main Desk Line|212-306-2700|N|Y|N|N
AMRX|P|AMERICAS EXECUTIONS, INC.|||N|Y|N|N
AMSN|P|Adamson Brothers Inc.|PARAMUS, NJ|201-518-0170|N|N|N|N
ANDG|P|Andrew Garrett Inc.|||Y|Y|N|N
ANDS|P|BRITEHORN SECURITIES|||N|Y|N|N
ANDV|P|FIS BROKERAGE & SECURITIES SERVICES LLC|Trading Desk|630-482-5105|N|Y|N|N
ANDZ|P|FIS BROKERAGE & SECURITIES SERVICES LLC|TRADING DESK|630-482-5105|N|Y|N|N
ANOS|P|ABEL/NOSER, L.L.C.|Trading Desk|646-432-4100|Y|Y|N|N
ANOV|P|Anovest Financial Services, Inc.|||N|Y|N|N
ANPC|P|ASG Securities, Inc.|ATLANTA, GA|404-888-0004|N|N|N|N
ANPC|P|ASG Securities, Inc.||800-897-0384|N|N|N|N
ANPC|P|ASG Securities, Inc.|IF LINE TROUBLE|404-423-3557|N|N|N|N
ANSL|P|Anderson & Strudwick, Incorporated|||N|N|N|N
ANSR|M|Anderson & Strudwick, Incorporated|RICHMOND, VA|804-643-2555|N|N|N|N
ANSR|M|Anderson & Strudwick, Incorporated||800-827-2515|N|N|N|N
ANSR|M|Anderson & Strudwick, Incorporated|SWITCHBOARD|804-643-2400|N|N|N|N
ANSU|P|LM Anderson Securities, LLC|GRENWICH CT|203-622-4800|N|N|N|N
AOSD|P|AOS, Inc.|||N|Y|N|N
AOSE|P|AOS, Inc.|||N|Y|N|N
APCA|P|ALPACA SECURITIES LLC|||N|Y|N|N
APCC|P|Apex Clearing Corporation|||Y|Y|Y|Y
APFS|P|American Portfolios Financial Services, Inc.|GLEN HEAD, NY|516-676-4727|N|Y|N|N
APOG|P|CITADEL SECURITIES LLC|||Y|Y|Y|Y
APSS|P|APS Financial Corporation|AUSTIN TX 78746|800-248-0630|N|N|N|N
APTR|P|Alpine Partners, L.P.|||N|N|N|N
APXO|P|APEX CLEARING CORPORATION|||Y|Y|Y|Y
APXS|P|APEXUS CAPITAL LLC|||N|Y|N|N
APXX|P|APEX CLEARING CORPORATION|||Y|Y|Y|Y
ARAD|P|Aradir Corporation|||N|N|N|N
ARAL|P|Absolute Return Advisors, LTD.|MANCHESTER CENTER,VT|802-362-0825|N|N|N|N
ARBC|P|ARKADIOS CAPITAL,LLC|||N|Y|N|N
ARBI|O|Aufhauser Securities, Inc.|NEW YORK, NY|(212)757-6839|N|Y|N|N
ARBR|P|ARBOR RESEARCH & TRADING, INC.|||N|Y|N|N
ARCA|P|Archipelago Trading Services, Inc.|NASDAQ TRADING|312-960-1318|N|Y|N|N
ARCA|P|Archipelago Trading Services, Inc.|OTCBB TRADING|312-442-7700|N|Y|N|N
ARCB|P|OES Brokerage Services, L.L.C.|||N|N|N|N
ARCD|P|Arcadia Securities, LLC|Trading|212-231-4101|N|Y|N|N
ARCX|E|Archipelago Stock Exchange||312-960-1318|N|N|N|N
ARDR|P|Ardour Capital Investments, LLC|||N|Y|N|N
ARGN|O|Aragon Investments, Ltd.|NASDAQ TRADING|312-395-2717|N|N|N|N
ARGN|O|Aragon Investments, Ltd.|ALT.NASDAQ TRADING|312-395-3124|N|N|N|N
ARIC|P|ARIVE CAPITAL MARKETS LLC|||N|Y|N|N
ARIV|N|Arive Capital Markets LLC|ALBANY, NY|518-458-7445|N|Y|N|N
ARRB|O|Archipelago Securities L.L.C.|NASDAQ TRADING|312-960-1318|Y|Y|Y|Y
ARRB|O|Archipelago Securities L.L.C.|OTCBB TRADING|312-442-7700|Y|Y|Y|Y
ARSC|P|ARCTIC SECURITIES LLC|Trading Desk|212-597-5543|N|Y|N|N
ARTI|P|ARBOR RESEARCH & TRADING, INC.|||N|Y|N|N
ARVS|P|Arvest Asset Management|||N|Y|N|N
ASAM|P|Azroc Securities, Inc.|||N|N|N|N
ASCL|P|AUTOMATED SECURITIES CLEARANCE LLC|||N|N|N|N
ASCM|P|ASCENDIANT CAPITAL MARKETS, LLC|||N|Y|N|N
ASCR|P|ASCENDIANT CAPITAL MARKETS, LLC|||N|Y|N|N
ASCT|P|Ascendiant Capital Markets, LLC|||N|Y|N|N
ASDF|P|ASD Financial Services Corp|||N|N|N|N
ASEL|O|Tradition Asiel Securities Inc.|NEW YORK, NY|212-791-4500|Y|Y|N|N
ASEL|O|Tradition Asiel Securities Inc.|ARBITRAGE|212-791-5572|Y|Y|N|N
ASEL|O|Tradition Asiel Securities Inc.|NASDAQ|212-791-5572|Y|Y|N|N
ASGE|P|ABN Amro Sage Corporation|||N|N|N|N
ASIC|M|ASI Investments, Inc.|||N|N|N|N
ASII|P|AURORA SECURITIES|||N|Y|N|N
ASLB|P|TRADITION SECURITIES AND DERIVATIVES INC|||Y|Y|N|N
ASNX|P|SUNGARD BROKERAGE & SECURITIES SERVICES, LLC|||N|Y|N|N
ASOI|P|Associated Investment Services, Inc.|NASDAQ TRADING|920-433-7722|N|Y|N|N
ASPI|P|Asia Pacific Financial Management Group, Inc.|||N|Y|N|N
ASTI|P|AST INVESTOR SERVICES LLC|||N|N|N|N
ATDB|O|Automated Trading Desk Brokerage Services, LLC|MT PLEASANT SC|843-789-2000|N|N|N|N
ATDB|O|Automated Trading Desk Brokerage Services, LLC|NASDAQ TRADING|843-789-2080|N|N|N|N
ATDB|O|Automated Trading Desk Brokerage Services, LLC|OTCBB/PINK|843-789-2065|N|N|N|N
ATIS|P|AMERICAN TRUST INVESTMENT SERVICES, INC|||N|Y|N|N
ATKC|P|Strand, Atkinson, Williams & York, Inc.|PORTLAND, OR|503-226-2458|N|Y|N|N
ATMC|P|COWEN ELECTRONIC|||Y|Y|Y|N
ATON|M|Aton Securities, Inc.|NEW YORK, NY|212-697-6099|N|N|N|N
ATPA|P|Cowen and Company, LLC|||Y|Y|Y|Y
ATRA|P|ATREYU TRADING|||N|Y|N|N
ATRE|P|ATREYU TRADING|||N|Y|N|N
ATRM|P|MONERE INVESTMENTS, INC.|||N|Y|N|N
ATRU|P|ATREYU TRADING|||N|Y|N|N
ATTR|P|Atlantic Trading Partners Incorporated|||N|N|N|N
AUDO|O|Audobon Securities, Inc.|NEW YORK, NY|212-751-4510|N|N|N|N
AULT|P|Ault Glazer Bodnar Securities, LLC|||N|N|N|N
AURA|P|Aura Financial Services, Inc.|||N|N|N|N
AVAP|P|Avalon Partners, Inc.|||N|N|N|N
AVEN|P|AVENTURA SECURITIES, LLC|||N|Y|N|N
AVEW|P|AVENTURA SECURITIES, LLC|||N|Y|N|N
AVFI|P|Alta Vista Financial, Inc.|||N|N|N|N
AVIA|O|Avian Securities, LLC|NEW YORK, NY|800-683-0333|N|N|N|N
AVIL|P|Avila Capital Markets, Inc.|||N|Y|N|N
AVON|M|Avondale Partners, LLC|A-NASHVILLE, TN|615-467-3535|N|Y|N|N
AVON|M|Avondale Partners, LLC|TRADING DESK|866-386-7476|N|Y|N|N
AVSI|P|Amerivet Securities Inc.|||N|Y|N|N
AVST|P|Richave Financial, Inc.|||N|N|N|N
AVTR|P|AVATAR SECURITIES, LLC|||N|N|N|Y
AXCL|P|AXOS CLEARING LLC|||Y|Y|N|N
AXCS|P|Access Securities, LLC|STAMFORD CT|203-595-8210|N|Y|N|N
AXCS|P|Access Securities, LLC|CONVERTIBLES|203-595-8224|N|Y|N|N
AXCS|P|Access Securities, LLC|WESTLAKE VILLAGE, CA|818-889-5611|N|Y|N|N
AXGP|P|Access Securities, LLC|STAMFORD, CT|203-595-8210|N|Y|N|N
AXIO|O|Axiom Capital Management, Inc.|NEW YORK  NY|212-207-4005|Y|Y|N|N
AXIO|O|Axiom Capital Management, Inc.|NASDAQ TRADING|800-609-2232|Y|Y|N|N
AXOS|P|AXOS Clearing LLC|||Y|Y|N|N
AYME|M|Martinez-Ayme Securities|TRADING|305-271-0805|N|N|N|N
AYRE|P|AYRE INVESTMENTS, INC.|||N|N|N|N
AZSU|P|Arizona State University|||N|N|N|N
BALA|P|G1 Execution Services, LLC|||Y|Y|Y|N
BALE|P|M&T SECURITIES, INC.|||N|Y|N|N
BALF|P|Balfour Investors Inc.|NASDAQ TRADING|212-489-7071|N|N|N|N
BALS|P|BRUCE A. LEFAVI SECURITIES, INC.|||N|Y|N|N
BAMC|P|Baldwin Anthony Securities, Inc.||800-994-2262|N|N|N|N
BAMC|P|Baldwin Anthony Securities, Inc.|DALLAS, TX|214-219-8899|N|N|N|N
BANC|P|Banc One Securities Corporation|NASDAQ TRADING|614-248-8863|N|N|N|N
BANK|O|Primevest Financial Services, Inc.|ST. CLOUD, MN|320-656-4300|N|Y|N|N
BANK|O|Primevest Financial Services, Inc.|NASDAQ TRADING|800-245-0464|N|Y|N|N
BANK|O|Primevest Financial Services, Inc.|AGENCY DESK|320-529-4576|N|Y|N|N
BANK|O|Primevest Financial Services, Inc.||320-656-4322|N|Y|N|N
BANQ|P|CAMBRIA CAPITAL, LLC|||N|Y|N|N
BARD|M|Robert W. Baird & Co. Incorporated|MILWAUKEE  WI|414-765-3660|Y|Y|N|N
BARD|M|Robert W. Baird & Co. Incorporated|ALT NASDAQ PH|414-765-3629|Y|Y|N|N
BARD|M|Robert W. Baird & Co. Incorporated|NASDAQ/OTCBB TRADING|800-562-2288|Y|Y|N|N
BARD|M|Robert W. Baird & Co. Incorporated|INSTITUTIONAL|800-558-9853|Y|Y|N|N
BARD|M|Robert W. Baird & Co. Incorporated|PREFERRED|800-792-2473|Y|Y|N|N
BARG|P|Barriger & Barriger Incorporated|||N|N|N|N
BARR|M|Barrett & Company|PROVIDENCE, RI|401-351-1000|N|Y|N|N
BARR|M|Barrett & Company|PROVIDENCE, RI|800-556-7078|N|Y|N|N
BARR|M|Barrett & Company|TRADING|800-626-8964|N|Y|N|N
BASD|O|Banc of America Securities LLC|SAN FRANCISCO, CA|415-627-2900|N|N|N|N
BASS|P|BASIS FINANCIAL, LLC|||N|N|N|N
BATC|P|Battenkill Capital, Inc.|||N|N|N|N
BATM|P|CBOE TRADING, INC.|||Y|Y|Y|N
BATS|E|CBOE TRADING, INC.|Trading Desk|913 815 7001|Y|Y|Y|N
BATS|E|CBOE TRADING, INC.|Main Number|913 815 7000|Y|Y|Y|N
BATY|E|CBOE TRADING, INC.|||Y|Y|Y|N
BAYC|P|BAY CREST PARTNERS, LLC|||Y|Y|N|N
BAYP|P|BAY CREST PARTNERS, LLC|||Y|Y|N|N
BAYT|O|BTIG, LLC|SAN FRANCISCO, CA|415-248-2200|Y|Y|N|N
BBGC|P|B.B. Graham & Company, Inc.|||N|Y|N|N
BBHC|P|Brown Brothers Harriman & Co.|||N|N|N|N
BBHP|P|HALCYON CABOT PARTNERS, LTD.|||N|N|N|N
BBOK|P|BARCLAYS CAPITAL INC.|||Y|Y|Y|Y
BBOX|P|BLINKBOX, LTD.|||N|N|N|N
BBST|P|BB&T SECURITIES, LLC|||Y|Y|N|N
BCAP|M|Barclays Capital Inc.|NEW YORK, NY|212-412-2125|Y|Y|Y|Y
BCAR|P|Banca Carige Spa Cassa Di Risp|||N|N|N|N
BCDX|P|BARCLAYS CAPITAL INC.|||Y|Y|Y|Y
BCEP|O|Bofa Securities, Inc.||212-670-4214|Y|Y|Y|Y
BCEX|O|Bofa Securities, Inc.||212-670-4214|Y|Y|Y|Y
BCGS|P|BCG Securities, Inc.|||N|Y|N|N
BCIB|P|BCI SECURITIES, INC.|||N|Y|N|N
BCLE|P|Barclays Capital Inc./Le|||Y|Y|Y|Y
BCMR|P|BBVA Investments Inc.|||N|N|N|N
BCMX|P|BERENBERG CAPITAL MARKETS LLC|||Y|Y|N|N
BCPI|M|Bathgate Capital Partners LLC|GREENWOOD VILLAGE CO|720-488-4740|N|Y|N|N
BCPL|P|STOCKKINGS CAPITAL LLC|||N|Y|N|N
BCPT|M|Baron Capital, Inc.|NEW YORK  NY|212-759-1500|N|Y|N|N
BCRK|P|Bear Creek Securities, LLC|||N|Y|N|N
BCSA|P|BCS Americas, Inc.|||N|Y|N|N
BCSB|P|TRIBAL CAPITAL MARKETS, LLC|NASDAQ TRADING|212-482-2150|Y|Y|N|N
BCSC|P|Bluechip Securities, Inc.|||N|N|N|N
BCSI|P|Bluechip Securities, Inc.|||N|N|N|N
BCWM|P|CREAND SECURITIES|||Y|Y|N|N
BCZC|M|B. C. Ziegler and Company|WEST BEND, WI|800-558-1776|N|Y|N|N
BCZC|M|B. C. Ziegler and Company|EQUITY TRADING DESK|866-899-2344|N|Y|N|N
BCZC|M|B. C. Ziegler and Company|PREFERRED STOCKS|800-837-7205|N|Y|N|N
BDAK|P|Securitrade Corporation|||N|N|N|N
BDCO|P|Bardi Co. LLC|||N|Y|N|N
BDDK|P|Tradeweb Direct LLC|||N|Y|N|N
BDFI|P|Westmoore Trading Company|||N|N|N|N
BDVE|P|BENJAMIN & JEROLD BROKERAGE I, LLC|||N|N|N|N
BDWN|O|BARDOWN CAPITAL LLC|||N|N|N|N
BEAC|P|Beacon Capital Markets, LLC|||N|N|N|N
BEAF|P|BEACONSFIELD FINANCIAL SERVICES, INC.|||N|Y|N|N
BEAH|P|Beach Securities Corporation|||N|N|N|N
BEAL|P|M. R. Beal & Company|||N|N|N|N
BEAR|M|Bear, Stearns & Co. Inc.|NEW YORK, NY|212-272-4810|Y|Y|Y|Y
BECM|P|CREAND SECURITIES|MIAMI, FL|305-358-8844|Y|Y|N|N
BECN|P|BEACON SECURITIES US LIMITED|||N|Y|N|N
BEGK|P|BENJAMIN & JEROLD BROKERAGE I, LLC|||N|N|N|N
BEJB|P|BENJAMIN & JEROLD BROKERAGE I, LLC|||N|N|N|N
BEJJ|P|BENJAMIN & JEROLD BROKERAGE I, LLC|CHICAGO, IL|312-554-0202|N|N|N|N
BELP|P|BELL POTTER SECURITIES (US) LLC|||N|Y|N|N
BELZ|O|DASH FINANCIAL TECHNOLOGIES LLC||312-663-3655|Y|Y|Y|Y
BENI|P|Evolution Securities US Inc.|||N|N|N|N
BENJ|P|Benjamin Securities, Inc.|||N|Y|N|N
BERN|M|Sanford C. Bernstein & Co., LLC|OTC TRADING|212-756-4017|Y|Y|Y|Y
BERS|P|BESTEX RESEARCH SECURITIES, LLC|||N|Y|N|N
BEST|M|J.P. Morgan Securities LLC|NEW YORK  NY|212-272-4810|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|OTCBB/PINK SHEETS|212-272-4975|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|NASDAQ TRADING|800-247-7882|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|EMERGING MARKETS|212-272-9297|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|INTERNATIONAL|212-272-4580|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|ARBITRAGE|212-272-4506|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|PREFERRED|212-272-5104|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|PREFERRED|800-231-8892|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|CONVERTIBLES|212-272-4484|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|HIGH YIELD DEPT|212-272-5100|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|OTCBB/PINK SHEETS|212-272-4975|Y|Y|Y|Y
BESX|P|BESTEX RESEARCH SECURITIES, LLC|||N|Y|N|N
BFEC|P|BENJAMIN F. EDWARDS & COMPANY, INC.|||N|Y|N|N
BFFI|P|Berthel, Fisher & Company Financial Services, Inc.|CEDAR RAPIDS, IA|319 447-5700|N|Y|N|N
BFIB|P|ARCA CAPITAL INVESTMENTS, INC.|||N|Y|N|N
BFLN|P|Basis Financial, Llc|||N|N|N|N
BFSA|O|Berwyn Financial Services Corp.|NASDAQ TRADING|610-408-9850|N|N|N|N
BFSI|P|Belfinance Securities, Inc.|||N|N|N|N
BFSL|P|Briggs-Ficks Securities, LLC|||N|N|N|N
BFTG|P|LEO BROKERAGE, LLC|||N|Y|N|N
BGCE|M|BGC Financial Inc.|||Y|Y|N|N
BGCF|P|BGC Financial Inc.|||Y|Y|N|N
BGCT|P|BGC FINANCIAL, L.P.|||Y|Y|N|N
BGCX|P|BGC Financial Inc.|||Y|Y|N|N
BGHT|P|Brighton Securities Corp.|WATTS|800-388-8787|N|Y|N|N
BGHT|P|Brighton Securities Corp.|ROCHESTER NY|716-473-3590|N|Y|N|N
BGHT|P|Brighton Securities Corp.|TRADING, NASDAQ|800-388-1703|N|Y|N|N
BGIA|P|Biondo Asset Management LLC|||N|N|N|N
BGIS|O|BLACKROCK EXECUTION SERVICES|415-597-2410|N/A|N|Y|N|N
BGSG|P|CBIZ Financial Solutions, Inc.|BALTIMORE, MD|301-777-7550|N|Y|N|N
BGTN|M|Brockington Securities, Inc.|NASDAQ TRADING|949-218-2486|N|N|N|N
BGTN|M|Brockington Securities, Inc.|OTCBB TRADING|949-218-2486|N|N|N|N
BGTN|M|Brockington Securities, Inc.||949-218-2486|N|N|N|N
BGTN|M|Brockington Securities, Inc.|EMERGENCY BACKUP|631-234-6098|N|N|N|N
BGWM|P|SANFORD C. BERNSTEIN & CO., LLC|||N|N|N|N
BHII|N|Belle Haven Investments|||N|Y|N|N
BHIS|P|BOURNEHILL INVESTMENT SERVICES, INC.|||N|Y|N|N
BHKS|P|BHK SECURITIES, LLC|||N|Y|N|N
BHLP|P|Belle Haven Investments, L.P.|||N|Y|N|N
BHMK|P|Benchmark Financial Services, Inc.|||N|N|N|N
